tp_s	fp_s	fn_s	tn_s
3635	354689	0	0
3604	351399	31	3290
3574	347987	61	6702
3544	344850	91	9839
3514	341594	121	13095
3490	338321	145	16368
3456	335090	179	19599
3426	331823	209	22866
3394	328584	241	26105
3373	325310	262	29379
3353	322094	282	32595
3310	318943	325	35746
3277	315748	358	38941
3246	312528	389	42161
3215	309463	420	45226
3186	306261	449	48428
3153	303075	482	51614
3119	299780	516	54909
3074	296626	561	58063
3030	293470	605	61219
2997	290248	638	64441
2959	287083	676	67606
2935	284010	700	70679
2909	280939	726	73750
2870	277794	765	76895
2843	274649	792	80040
2815	271628	820	83061
2796	268513	839	86176
2766	265346	869	89343
2739	262234	896	92455
2716	259027	919	95662
2693	255795	942	98894
2660	252664	975	102025
2626	249605	1009	105084
2595	246483	1040	108206
2563	243421	1072	111268
2536	240377	1099	114312
2504	237278	1131	117411
2479	234267	1156	120422
2448	231222	1187	123467
2423	228122	1212	126567
2397	225101	1238	129588
2367	222080	1268	132609
2344	219066	1291	135623
2313	216197	1322	138492
2282	213312	1353	141377
2250	210327	1385	144362
2210	207344	1425	147345
2184	204461	1451	150228
2146	201479	1489	153210
2116	198611	1519	156078
2085	195718	1550	158971
2049	192790	1586	161899
2019	189806	1616	164883
1993	187026	1642	167663
1967	184150	1668	170539
1936	181286	1699	173403
1917	178434	1718	176255
1898	175587	1737	179102
1872	172693	1763	181996
1842	169861	1793	184828
1817	167029	1818	187660
1798	164303	1837	190386
1776	161507	1859	193182
1752	158715	1883	195974
1722	156011	1913	198678
1703	153309	1932	201380
1680	150543	1955	204146
1660	147826	1975	206863
1634	145100	2001	209589
1591	142373	2044	212316
1573	139678	2062	215011
1553	137036	2082	217653
1525	134417	2110	220272
1498	131734	2137	222955
1477	129166	2158	225523
1451	126546	2184	228143
1429	123934	2206	230755
1401	121384	2234	233305
1382	118849	2253	235840
1351	116354	2284	238335
1329	113832	2306	240857
1305	111274	2330	243415
1283	108836	2352	245853
1257	106384	2378	248305
1229	103914	2406	250775
1208	101442	2427	253247
1186	99080	 2449	255609
1164	96742	 2471	257947
1137	94447	 2498	260242
1107	92203	 2528	262486
1085	89908	 2550	264781
1064	87544	 2571	267145
1038	85298	 2597	269391
1015	83118	 2620	271571
990	80913	 2645	273776
969	78811	 2666	275878
952	76683	 2683	278006
925	74491	 2710	280198
906	72486	 2729	282203
881	70422	 2754	284267
863	68431	 2772	286258
849	66334	 2786	288355
826	64356	 2809	290333
805	62412	 2830	292277
790	60474	 2845	294215
770	58572	 2865	296117
757	56716	 2878	297973
735	54862	 2900	299827
721	53061	 2914	301628
701	51305	 2934	303384
674	49644	 2961	305045
653	47905	 2982	306784
633	46237	 3002	308452
615	44572	 3020	310117
595	42894	 3040	311795
582	41379	 3053	313310
567	39732	 3068	314957
545	38238	 3090	316451
523	36740	 3112	317949
509	35314	 3126	319375
490	33873	 3145	320816
475	32519	 3160	322170
458	31250	 3177	323439
440	29924	 3195	324765
427	28655	 3208	326034
418	27471	 3217	327218
403	26272	 3232	328417
389	25091	 3246	329598
379	23922	 3256	330767
364	22831	 3271	331858
349	21730	 3286	332959
329	20710	 3306	333979
321	19708	 3314	334981
312	18794	 3323	335895
297	17868	 3338	336821
286	16968	 3349	337721
272	16086	 3363	338603
262	15256	 3373	339433
253	14449	 3382	340240
242	13588	 3393	341101
236	12829	 3399	341860
229	12096	 3406	342593
224	11413	 3411	343276
209	10746	 3426	343943
198	10105	 3437	344584
190	9513	3445	345176
178	8912	3457	345777
169	8375	3466	346314
163	7831	3472	346858
155	7293	3480	347396
145	6820	3490	347869
139	6389	3496	348300
134	5978	3501	348711
126	5572	3509	349117
119	5182	3516	349507
110	4821	3525	349868
102	4427	3533	350262
100	4054	3535	350635
93	3750	3542	350939
85	3418	3550	351271
77	3112	3558	351577
73	2818	3562	351871
69	2540	3566	352149
65	2309	3570	352380
62	2060	3573	352629
55	1818	3580	352871
51	1617	3584	353072
48	1421	3587	353268
41	1252	3594	353437
36	1085	3599	353604
33	940	3602	353749
28	793	3607	353896
26	673	3609	354016
24	556	3611	354133
21	450	3614	354239
19	372	3616	354317
15	298	3620	354391
14	222	3621	354467
10	155	3625	354534
6	117	3629	354572
4	70	3631	354619
3	44	3632	354645
2	25	3633	354664
2	11	3633	354678
2	3	3633	354686
1	1	3634	354688
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
