tp_s	fp_s	fn_s	tn_s
3635	354688	0	1
3609	351379	26	3310
3575	348056	60	6633
3539	344749	96	9940
3498	341486	137	13203
3466	338150	169	16539
3440	334879	195	19810
3406	331555	229	23134
3379	328297	256	26392
3340	325034	295	29655
3299	321764	336	32925
3253	318563	382	36126
3221	315268	414	39421
3197	311947	438	42742
3168	308714	467	45975
3140	305449	495	49240
3101	302202	534	52487
3073	298981	562	55708
3034	295721	601	58968
3006	292454	629	62235
2972	289176	663	65513
2937	285868	698	68821
2907	282606	728	72083
2881	279401	754	75288
2855	276217	780	78472
2826	272964	809	81725
2796	269803	839	84886
2769	266581	866	88108
2749	263314	886	91375
2718	260205	917	94484
2686	257027	949	97662
2656	253858	979	100831
2628	250704	1007	103985
2591	247629	1044	107060
2558	244529	1077	110160
2533	241418	1102	113271
2507	238180	1128	116509
2476	235014	1159	119675
2444	231892	1191	122797
2422	228747	1213	125942
2388	225643	1247	129046
2354	222534	1281	132155
2309	219563	1326	135126
2279	216564	1356	138125
2249	213451	1386	141238
2223	210497	1412	144192
2188	207461	1447	147228
2160	204392	1475	150297
2130	201518	1505	153171
2106	198559	1529	156130
2082	195702	1553	158987
2049	192654	1586	162035
2022	189762	1613	164927
1985	186907	1650	167782
1961	183944	1674	170745
1926	180991	1709	173698
1901	178194	1734	176495
1870	175354	1765	179335
1843	172591	1792	182098
1812	169903	1823	184786
1786	167119	1849	187570
1758	164323	1877	190366
1733	161561	1902	193128
1717	158847	1918	195842
1689	156091	1946	198598
1670	153309	1965	201380
1655	150750	1980	203939
1632	147994	2003	206695
1612	145264	2023	209425
1584	142599	2051	212090
1558	139981	2077	214708
1540	137485	2095	217204
1514	134786	2121	219903
1490	132191	2145	222498
1473	129536	2162	225153
1449	127016	2186	227673
1425	124549	2210	230140
1399	121959	2236	232730
1373	119500	2262	235189
1346	116946	2289	237743
1311	114456	2324	240233
1295	111956	2340	242733
1271	109521	2364	245168
1260	107074	2375	247615
1240	104727	2395	249962
1218	102324	2417	252365
1197	99931	2438	254758
1165	97658	2470	257031
1147	95406	2488	259283
1126	93180	2509	261509
1103	90952	2532	263737
1078	88758	2557	265931
1054	86603	2581	268086
1032	84412	2603	270277
1008	82233	2627	272456
979	80145	2656	274544
954	78010	2681	276679
936	75949	2699	278740
912	73928	2723	280761
893	71971	2742	282718
865	69947	2770	284742
846	68013	2789	286676
826	66050	2809	288639
805	64171	2830	290518
787	62257	2848	292432
770	60424	2865	294265
743	58641	2892	296048
726	56826	2909	297863
706	55044	2929	299645
687	53324	2948	301365
669	51575	2966	303114
645	49892	2990	304797
632	48242	3003	306447
614	46654	3021	308035
600	45023	3035	309666
578	43483	3057	311206
565	41930	3070	312759
546	40459	3089	314230
526	39035	3109	315654
508	37664	3127	317025
498	36245	3137	318444
481	34865	3154	319824
467	33440	3168	321249
454	32049	3181	322640
444	30681	3191	324008
428	29430	3207	325259
413	28189	3222	326500
401	26947	3234	327742
386	25714	3249	328975
375	24538	3260	330151
360	23410	3275	331279
346	22345	3289	332344
333	21200	3302	333489
317	20207	3318	334482
307	19189	3328	335500
293	18212	3342	336477
283	17237	3352	337452
276	16295	3359	338394
265	15370	3370	339319
254	14544	3381	340145
245	13780	3390	340909
233	13018	3402	341671
222	12236	3413	342453
208	11487	3427	343202
195	10809	3440	343880
182	10109	3453	344580
176	9407	3459	345282
167	8767	3468	345922
161	8182	3474	346507
154	7577	3481	347112
143	7046	3492	347643
132	6526	3503	348163
121	6010	3514	348679
115	5507	3520	349182
107	5052	3528	349637
99	4625	3536	350064
93	4209	3542	350480
87	3805	3548	350884
83	3429	3552	351260
77	3104	3558	351585
71	2774	3564	351915
63	2482	3572	352207
57	2192	3578	352497
53	1958	3582	352731
49	1735	3586	352954
42	1512	3593	353177
39	1316	3596	353373
39	1130	3596	353559
32	972	3603	353717
31	842	3604	353847
27	699	3608	353990
20	579	3615	354110
16	482	3619	354207
15	397	3620	354292
13	308	3622	354381
12	243	3623	354446
10	187	3625	354502
7	136	3628	354553
6	100	3629	354589
6	72	3629	354617
4	44	3631	354645
4	31	3631	354658
3	14	3632	354675
0	5	3635	354684
0	3	3635	354686
0	1	3635	354688
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
