tp_s	fp_s	fn_s	tn_s
3635	354689	0	0
3607	351429	28	3260
3567	348094	68	6595
3530	344962	105	 9727
3510	341692	125	 12997
3473	338506	162	 16183
3437	335314	198	 19375
3408	332090	227	 22599
3375	328854	260	 25835
3344	325681	291	 29008
3318	322445	317	 32244
3285	319205	350	 35484
3245	316016	390	 38673
3207	312740	428	 41949
3170	309502	465	 45187
3135	306346	500	 48343
3106	303305	529	 51384
3076	300118	559	 54571
3049	296937	586	 57752
3021	293706	614	 60983
2985	290509	650	 64180
2956	287305	679	 67384
2937	284150	698	 70539
2906	280970	729	 73719
2881	277753	754	 76936
2856	274582	779	 80107
2808	271433	827	 83256
2782	268354	853	 86335
2759	265207	876	 89482
2736	261994	899	 92695
2700	258864	935	 95825
2670	255765	965	 98924
2642	252669	993	 102020
2615	249522	1020	105167
2579	246403	1056	108286
2564	243328	1071	111361
2532	240283	1103	114406
2512	237237	1123	117452
2480	234182	1155	120507
2451	231150	1184	123539
2420	228091	1215	126598
2387	225101	1248	129588
2349	221998	1286	132691
2312	218990	1323	135699
2279	215972	1356	138717
2256	212961	1379	141728
2227	210013	1408	144676
2200	207142	1435	147547
2176	204199	1459	150490
2148	201333	1487	153356
2125	198387	1510	156302
2097	195429	1538	159260
2067	192531	1568	162158
2030	189601	1605	165088
1998	186705	1637	167984
1962	183820	1673	170869
1927	181015	1708	173674
1898	178281	1737	176408
1877	175492	1758	179197
1838	172675	1797	182014
1819	169957	1816	184732
1793	167166	1842	187523
1765	164494	1870	190195
1746	161817	1889	192872
1726	159127	1909	195562
1705	156403	1930	198286
1689	153817	1946	200872
1671	151169	1964	203520
1645	148613	1990	206076
1621	145918	2014	208771
1600	143376	2035	211313
1578	140716	2057	213973
1552	138203	2083	216486
1532	135535	2103	219154
1505	132881	2130	221808
1481	130345	2154	224344
1451	127816	2184	226873
1430	125294	2205	229395
1401	122811	2234	231878
1381	120342	2254	234347
1360	117891	2275	236798
1335	115378	2300	239311
1301	112981	2334	241708
1287	110474	2348	244215
1268	108000	2367	246689
1247	105676	2388	249013
1226	103271	2409	251418
1200	100975	2435	253714
1184	98727	 2451	255962
1164	96494	 2471	258195
1139	94266	 2496	260423
1110	91976	 2525	262713
1085	89760	 2550	264929
1060	87628	 2575	267061
1036	85467	 2599	269222
1016	83343	 2619	271346
992	 81273	 2643	273416
971	 79256	 2664	275433
943	 77137	 2692	277552
918	 75058	 2717	279631
903	 73008	 2732	281681
886	 71049	 2749	283640
866	 69059	 2769	285630
844	 67137	 2791	287552
825	 65264	 2810	289425
809	 63319	 2826	291370
793	 61470	 2842	293219
771	 59657	 2864	295032
749	 57829	 2886	296860
724	 56048	 2911	298641
703	 54352	 2932	300337
686	 52671	 2949	302018
665	 51003	 2970	303686
652	 49305	 2983	305384
629	 47701	 3006	306988
608	 46104	 3027	308585
589	 44521	 3046	310168
575	 43028	 3060	311661
552	 41549	 3083	313140
538	 40108	 3097	314581
527	 38681	 3108	316008
513	 37219	 3122	317470
498	 35839	 3137	318850
487	 34438	 3148	320251
475	 33027	 3160	321662
457	 31660	 3178	323029
450	 30357	 3185	324332
439	 29129	 3196	325560
420	 27861	 3215	326828
403	 26641	 3232	328048
385	 25467	 3250	329222
371	 24275	 3264	330414
360	 23155	 3275	331534
345	 21997	 3290	332692
329	 20926	 3306	333763
317	 19914	 3318	334775
306	 18928	 3329	335761
298	 17931	 3337	336758
284	 17025	 3351	337664
271	 16071	 3364	338618
264	 15176	 3371	339513
256	 14335	 3379	340354
239	 13512	 3396	341177
228	 12778	 3407	341911
219	 11986	 3416	342703
207	 11273	 3428	343416
193	 10546	 3442	344143
180	 9837	3455	344852
173	 9174	3462	345515
168	 8560	3467	346129
157	 7970	3478	346719
148	 7375	3487	347314
138	 6791	3497	347898
131	 6293	3504	348396
122	 5798	3513	348891
116	 5324	3519	349365
108	 4856	3527	349833
99	4475	3536	350214
91	4020	3544	350669
87	3621	3548	351068
79	3262	3556	351427
71	2944	3564	351745
64	2643	3571	352046
61	2340	3574	352349
56	2070	3579	352619
53	1838	3582	352851
49	1603	3586	353086
40	1388	3595	353301
39	1185	3596	353504
36	1036	3599	353653
34	882	 3601	353807
31	751	 3604	353938
25	613	 3610	354076
19	511	 3616	354178
16	419	 3619	354270
14	349	 3621	354340
11	270	 3624	354419
9	203	 3626	354486
7	148	 3628	354541
7	104	 3628	354585
6	75	3629	354614
4	48	3631	354641
4	34	3631	354655
3	15	3632	354674
0	5	3635	354684
0	2	3635	354687
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
