tp_s	fp_s	fn_s	tn_s
3635	354689	0	0
3604	351453	31	 3236
3575	348120	60	 6569
3544	344784	91	 9905
3513	341465	122	13224
3478	338174	157	16515
3445	334948	190	19741
3415	331623	220	23066
3382	328431	253	26258
3351	325206	284	29483
3318	322043	317	32646
3291	318800	344	35889
3264	315604	371	39085
3227	312432	408	42257
3194	309276	441	45413
3155	305985	480	48704
3126	302747	509	51942
3089	299711	546	54978
3061	296543	574	58146
3020	293339	615	61350
2994	290228	641	64461
2969	287039	666	67650
2942	283975	693	70714
2906	280799	729	73890
2877	277639	758	77050
2844	274448	791	80241
2813	271263	822	83426
2787	268085	848	86604
2750	264923	885	89766
2724	261777	911	92912
2694	258647	941	96042
2668	255503	967	99186
2650	252440	985	102249
2614	249328	1021	105361
2588	246240	1047	108449
2554	243232	1081	111457
2522	240168	1113	114521
2484	237038	1151	117651
2462	233964	1173	120725
2429	230900	1206	123789
2401	227821	1234	126868
2366	224813	1269	129876
2345	221858	1290	132831
2317	218838	1318	135851
2290	215815	1345	138874
2256	212871	1379	141818
2225	209841	1410	144848
2191	206976	1444	147713
2166	204033	1469	150656
2132	201158	1503	153531
2107	198237	1528	156452
2073	195274	1562	159415
2042	192328	1593	162361
2001	189506	1634	165183
1974	186701	1661	167988
1947	183778	1688	170911
1921	180871	1714	173818
1902	178082	1733	176607
1880	175247	1755	179442
1854	172469	1781	182220
1824	169657	1811	185032
1804	166840	1831	187849
1776	164003	1859	190686
1754	161139	1881	193550
1735	158458	1900	196231
1717	155727	1918	198962
1688	152956	1947	201733
1672	150206	1963	204483
1647	147525	1988	207164
1628	144791	2007	209898
1594	142205	2041	212484
1574	139515	2061	215174
1550	136829	2085	217860
1515	134228	2120	220461
1484	131588	2151	223101
1461	128922	2174	225767
1442	126341	2193	228348
1418	123767	2217	230922
1387	121170	2248	233519
1357	118595	2278	236094
1340	116069	2295	238620
1320	113516	2315	241173
1301	111148	2334	243541
1276	108680	2359	246009
1249	106178	2386	248511
1224	103753	2411	250936
1203	101439	2432	253250
1185	98999	 2450	255690
1160	96720	 2475	257969
1134	94368	 2501	260321
1104	92099	 2531	262590
1069	89860	 2566	264829
1043	87646	 2592	267043
1015	85335	 2620	269354
1002	83117	 2633	271572
981	80910	 2654	273779
957	78749	 2678	275940
938	76663	 2697	278026
927	74560	 2708	280129
905	72493	 2730	282196
888	70445	 2747	284244
859	68387	 2776	286302
836	66380	 2799	288309
815	64428	 2820	290261
799	62455	 2836	292234
779	60536	 2856	294153
766	58664	 2869	296025
748	56800	 2887	297889
731	54942	 2904	299747
715	53136	 2920	301553
698	51343	 2937	303346
672	49610	 2963	305079
653	47952	 2982	306737
634	46304	 3001	308385
614	44600	 3021	310089
592	42952	 3043	311737
573	41365	 3062	313324
559	39824	 3076	314865
546	38282	 3089	316407
522	36777	 3113	317912
503	35362	 3132	319327
486	33950	 3149	320739
470	32631	 3165	322058
447	31259	 3188	323430
436	29974	 3199	324715
424	28725	 3211	325964
403	27479	 3232	327210
393	26292	 3242	328397
387	25066	 3248	329623
368	23875	 3267	330814
349	22786	 3286	331903
339	21720	 3296	332969
326	20713	 3309	333976
311	19737	 3324	334952
302	18777	 3333	335912
292	17851	 3343	336838
281	16919	 3354	337770
265	16012	 3370	338677
256	15152	 3379	339537
250	14350	 3385	340339
243	13578	 3392	341111
232	12778	 3403	341911
224	12056	 3411	342633
218	11378	 3417	343311
206	10709	 3429	343980
196	10090	 3439	344599
186	9458	3449	345231
181	8889	3454	345800
169	8322	3466	346367
162	7803	3473	346886
149	7296	3486	347393
144	6804	3491	347885
143	6375	3492	348314
133	5971	3502	348718
125	5559	3510	349130
118	5165	3517	349524
110	4770	3525	349919
102	4387	3533	350302
98	 4031	3537	350658
92	 3713	3543	350976
83	 3405	3552	351284
80	 3099	3555	351590
71	 2825	3564	351864
68	 2549	3567	352140
63	 2290	3572	352399
59	 2054	3576	352635
56	 1829	3579	352860
51	 1616	3584	353073
46	 1417	3589	353272
39	 1229	3596	353460
36	 1080	3599	353609
33	 936	3602	353753
27	 783	3608	353906
25	 673	3610	354016
23	 549	3612	354140
21	 449	3614	354240
19	 377	3616	354312
16	 299	3619	354390
13	 223	3622	354466
10	 159	3625	354530
7	111	3628	354578
5	72	 3630	354617
3	43	 3632	354646
2	23	 3633	354666
2	11	 3633	354678
2	6	3633	354683
2	1	3633	354688
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
