tp_s	fp_s	fn_s	tn_s
1754	170555	29	3132
1739	168933	44	4754
1722	167348	61	6339
1703	165790	80	7897
1690	164197	93	9490
1672	162651	111	11036
1659	161135	124	12552
1642	159528	141	14159
1624	157936	159	15751
1607	156398	176	17289
1589	154838	194	18849
1580	153208	203	20479
1569	151716	214	21971
1555	150140	228	23547
1539	148596	244	25091
1521	147075	262	26612
1503	145523	280	28164
1488	143976	295	29711
1468	142434	315	31253
1458	140855	325	32832
1433	139281	350	34406
1424	137718	359	35969
1411	136220	372	37467
1401	134714	382	38973
1388	133151	395	40536
1379	131589	404	42098
1367	130089	416	43598
1359	128553	424	45134
1341	127061	442	46626
1324	125590	459	48097
1311	124028	472	49659
1290	122463	493	51224
1274	121026	509	52661
1259	119520	524	54167
1243	118078	540	55609
1229	116567	554	57120
1213	115056	570	58631
1199	113620	584	60067
1189	112123	594	61564
1173	110597	610	63090
1161	109119	622	64568
1136	107786	647	65901
1125	106388	658	67299
1108	104910	675	68777
1097	103504	686	70183
1080	102038	703	71649
1062	100564	721	73123
1053	99203	730	74484
1047	97762	736	75925
1031	96396	752	77291
1018	94941	765	78746
1007	93578	776	80109
990	92205	793	81482
981	90798	802	82889
965	89421	818	84266
953	88087	830	85600
934	86707	849	86980
920	85366	863	88321
904	84079	879	89608
888	82761	895	90926
875	81422	908	92265
863	80081	920	93606
855	78834	928	94853
839	77508	944	96179
832	76220	951	97467
824	74978	959	98709
815	73686	968	100001
809	72365	974	101322
800	71069	983	102618
783	69825	1000	103862
771	68591	1012	105096
764	67348	1019	106339
750	66121	1033	107566
740	64886	1043	108801
733	63609	1050	110078
721	62461	1062	111226
713	61278	1070	112409
704	60030	1079	113657
690	58822	1093	114865
677	57590	1106	116097
666	56338	1117	117349
656	55113	1127	118574
648	53836	1135	119851
642	52710	1141	120977
629	51635	1154	122052
619	50496	1164	123191
608	49380	1175	124307
592	48336	1191	125351
583	47240	1200	126447
574	46150	1209	127537
567	45037	1216	128650
556	44017	1227	129670
541	42984	1242	130703
531	41911	1252	131776
521	40841	1262	132846
506	39857	1277	133830
494	38824	1289	134863
486	37816	1297	135871
472	36833	1311	136854
466	35896	1317	137791
452	34903	1331	138784
439	33997	1344	139690
429	33066	1354	140621
416	32156	1367	141531
407	31221	1376	142466
397	30327	1386	143360
386	29462	1397	144225
378	28574	1405	145113
365	27713	1418	145974
358	26887	1425	146800
349	26029	1434	147658
336	25171	1447	148516
327	24368	1456	149319
321	23579	1462	150108
317	22816	1466	150871
305	22071	1478	151616
297	21315	1486	152372
288	20589	1495	153098
278	19927	1505	153760
264	19229	1519	154458
260	18537	1523	155150
255	17839	1528	155848
247	17144	1536	156543
238	16480	1545	157207
230	15837	1553	157850
223	15206	1560	158481
217	14603	1566	159084
209	14029	1574	159658
201	13415	1582	160272
193	12794	1590	160893
185	12237	1598	161450
177	11722	1606	161965
172	11175	1611	162512
164	10608	1619	163079
159	10113	1624	163574
151	9585	1632	164102
149	9127	1634	164560
144	8653	1639	165034
139	8196	1644	165491
130	7738	1653	165949
122	7344	1661	166343
116	6959	1667	166728
110	6565	1673	167122
107	6171	1676	167516
100	5805	1683	167882
96	5468	1687	168219
90	5112	1693	168575
89	4771	1694	168916
83	4466	1700	169221
80	4174	1703	169513
79	3885	1704	169802
73	3613	1710	170074
69	3356	1714	170331
63	3083	1720	170604
61	2860	1722	170827
56	2641	1727	171046
52	2430	1731	171257
49	2205	1734	171482
47	2003	1736	171684
45	1792	1738	171895
42	1630	1741	172057
39	1466	1744	172221
34	1310	1749	172377
32	1154	1751	172533
29	1038	1754	172649
28	922	1755	172765
24	815	1759	172872
22	719	1761	172968
22	614	1761	173073
22	544	1761	173143
18	476	1765	173211
17	397	1766	173290
14	339	1769	173348
11	284	1772	173403
9	246	1774	173441
9	205	1774	173482
9	166	1774	173521
8	132	1775	173555
5	96	1778	173591
5	70	1778	173617
5	46	1778	173641
5	38	1778	173649
3	23	1780	173664
3	16	1780	173671
2	7	1781	173680
0	3	1783	173684
0	2	1783	173685
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
