tp_s	fp_s	fn_s	tn_s
1756	170466	27	3221
1735	168956	48	4731
1722	167445	61	6242
1709	165849	74	7838
1692	164348	91	9339
1681	162827	102	10860
1660	161272	123	12415
1644	159694	139	13993
1625	158111	158	15576
1599	156634	184	17053
1584	155117	199	18570
1573	153594	210	20093
1561	152022	222	21665
1551	150467	232	23220
1533	148946	250	24741
1520	147409	263	26278
1503	145926	280	27761
1490	144412	293	29275
1475	142915	308	30772
1461	141329	322	32358
1448	139852	335	33835
1431	138286	352	35401
1420	136683	363	37004
1408	135224	375	38463
1392	133666	391	40021
1384	132168	399	41519
1370	130633	413	43054
1352	129156	431	44531
1339	127678	444	46009
1323	126201	460	47486
1310	124654	473	49033
1296	123207	487	50480
1285	121689	498	51998
1273	120237	510	53450
1259	118807	524	54880
1239	117347	544	56340
1220	115892	563	57795
1211	114442	572	59245
1202	112958	581	60729
1191	111487	592	62200
1174	110154	609	63533
1162	108660	621	65027
1142	107181	641	66506
1127	105800	656	67887
1110	104375	673	69312
1096	102958	687	70729
1077	101564	706	72123
1064	100200	719	73487
1051	98815	732	74872
1034	97428	749	76259
1024	95989	759	77698
1012	94583	771	79104
1001	93224	782	80463
986	91836	797	81851
974	90458	809	83229
961	89091	822	84596
951	87778	832	85909
930	86476	853	87211
920	85195	863	88492
905	83858	878	89829
898	82527	885	91160
885	81217	898	92470
874	79938	909	93749
860	78685	923	95002
848	77387	935	96300
837	76131	946	97556
824	74906	959	98781
811	73672	972	100015
800	72385	983	101302
789	71094	994	102593
774	69852	1009	103835
764	68564	1019	105123
755	67362	1028	106325
751	66175	1032	107512
742	64958	1041	108729
733	63716	1050	109971
728	62473	1055	111214
715	61357	1068	112330
701	60074	1082	113613
689	58856	1094	114831
679	57655	1104	116032
669	56451	1114	117236
662	55260	1121	118427
651	54079	1132	119608
639	52958	1144	120729
629	51790	1154	121897
617	50711	1166	122976
612	49626	1171	124061
601	48506	1182	125181
590	47474	1193	126213
578	46375	1205	127312
567	45278	1216	128409
549	44250	1234	129437
537	43205	1246	130482
533	42152	1250	131535
511	41152	1272	132535
505	40105	1278	133582
496	39079	1287	134608
486	38086	1297	135601
479	37122	1304	136565
462	36145	1321	137542
451	35202	1332	138485
437	34243	1346	139444
425	33313	1358	140374
415	32412	1368	141275
407	31488	1376	142199
402	30566	1381	143121
394	29681	1389	144006
382	28801	1401	144886
371	27952	1412	145735
360	27116	1423	146571
345	26307	1438	147380
336	25435	1447	148252
329	24626	1454	149061
322	23841	1461	149846
309	23037	1474	150650
305	22281	1478	151406
295	21558	1488	152129
291	20826	1492	152861
282	20145	1501	153542
276	19433	1507	154254
268	18786	1515	154901
258	18079	1525	155608
253	17443	1530	156244
244	16777	1539	156910
237	16110	1546	157577
228	15462	1555	158225
221	14818	1562	158869
214	14211	1569	159476
207	13636	1576	160051
201	13071	1582	160616
190	12491	1593	161196
183	11888	1600	161799
173	11360	1610	162327
168	10828	1615	162859
159	10323	1624	163364
155	9823	1628	163864
152	9316	1631	164371
148	8820	1635	164867
137	8334	1646	165353
131	7886	1652	165801
125	7512	1658	166175
122	7093	1661	166594
118	6701	1665	166986
112	6336	1671	167351
105	5974	1678	167713
96	5574	1687	168113
94	5235	1689	168452
89	4911	1694	168776
85	4578	1698	169109
81	4274	1702	169413
78	3972	1705	169715
75	3703	1708	169984
68	3425	1715	170262
63	3163	1720	170524
61	2935	1722	170752
57	2689	1726	170998
54	2477	1729	171210
51	2274	1732	171413
47	2034	1736	171653
44	1843	1739	171844
42	1657	1741	172030
39	1513	1744	172174
37	1354	1746	172333
34	1200	1749	172487
29	1070	1754	172617
28	933	1755	172754
26	825	1757	172862
23	718	1760	172969
22	632	1761	173055
22	546	1761	173141
19	477	1764	173210
17	414	1766	173273
14	346	1769	173341
11	282	1772	173405
9	241	1774	173446
9	202	1774	173485
9	160	1774	173527
7	132	1776	173555
5	94	1778	173593
5	67	1778	173620
5	47	1778	173640
4	33	1779	173654
3	22	1780	173665
3	13	1780	173674
1	5	1782	173682
0	3	1783	173684
0	1	1783	173686
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
