Gene1	Gene2	rho1	version	ID	rank_rho	V3
ENSG00000001561	ENSG00000079841	0.160413218938256	1	21141189	57793236	1
ENSG00000001561	ENSG00000101307	0.365071829279957	1	144005373	122885710	1
ENSG00000001561	ENSG00000106588	0.320235198013966	1	25757514	109922986	1
ENSG00000001561	ENSG00000111540	0.464645659454749	1	75657588	148282217	1
ENSG00000001561	ENSG00000134996	0.520644471025826	1	44775891	160162183	1
ENSG00000001561	ENSG00000166226	0.271249566979202	1	77314833	94834716	1
ENSG00000001561	ENSG00000168092	0.407258084975944	1	59416888	134255050	1
ENSG00000001561	ENSG00000184702	-0.590320652148315	1	178526398	172171073	1
ENSG00000001561	ENSG00000185883	-0.0916093407818033	1	107999994	33361176	1
ENSG00000001561	ENSG00000186111	-0.646569399557162	1	154578591	179494647	1
ENSG00000001561	ENSG00000188229	-0.117484302179534	1	49452978	42641707	1
ENSG00000001561	ENSG00000198707	0.205163812418747	1	78112689	73162058	1
ENSG00000001561	ENSG00000214078	-0.31112450935617	1	147659958	107188953	1
ENSG00000006007	ENSG00000100997	-0.004378454067489	1	146331042	1602579	1
ENSG00000006007	ENSG00000103043	-0.4115180815278	1	117297141	135357960	1
ENSG00000006007	ENSG00000159082	0.146811642698623	1	188359807	53030012	1
ENSG00000006007	ENSG00000186111	-0.437772289461812	1	154587024	141933297	1
ENSG00000006007	ENSG00000214078	-0.267856378426854	1	147668391	93756722	1
ENSG00000006607	ENSG00000089820	0.258865751876087	1	35725567	90878517	1
ENSG00000006607	ENSG00000213977	0.485829421403303	1	121114455	152998326	1
ENSG00000006607	ENSG00000242173	-0.368318056129752	1	106488310	123790267	1
ENSG00000006695	ENSG00000011295	0.479546848617807	1	124149390	151625673	1
ENSG00000006695	ENSG00000082641	-0.012307793870061	1	131470749	4507469	1
ENSG00000006695	ENSG00000160194	-0.503522218959846	1	189916560	156733514	1
ENSG00000006695	ENSG00000178127	0.0877198570329017	1	139302139	31957828	1
ENSG00000008086	ENSG00000083290	-0.145854071388045	1	125136222	52693305	1
ENSG00000008086	ENSG00000165238	0.438539044152432	1	45461277	142120947	1
ENSG00000011275	ENSG00000022840	-0.317069624834495	1	81103481	108974937	1
ENSG00000011275	ENSG00000034677	-0.00895430537326837	1	40268852	3277651	1
ENSG00000011275	ENSG00000077721	-0.68734088275135	1	34589087	183495254	1
ENSG00000011275	ENSG00000100505	-0.255577266807056	1	90505332	89818504	1
ENSG00000011275	ENSG00000102858	0.354492644938059	1	108972704	119904521	1
ENSG00000011275	ENSG00000109079	-0.262152953511816	1	125642027	91934286	1
