n_it	n_sub	mse_1	mse_2
10	10	0.127193775430227	0.128011502944302
10	10	0.116070391812872	0.122584976631542
10	10	0.113944075851063	0.128890010552303
10	10	0.113778086910507	0.12481729998953
10	10	0.125543382004108	0.12180320661872
10	10	0.109763367157015	0.129773059889726
20	10	0.120508778975561	0.128008763318065
20	10	0.114046343065637	0.126528315472228
20	10	0.115744429513045	0.124127608900929
20	10	0.122044248733534	0.127842346404745
20	10	0.120550113463539	0.125069343377026
20	10	0.123503399552766	0.124543106435526
30	10	0.118077834238036	0.124491309048277
30	10	0.120324520842529	0.126214663983383
30	10	0.11721654373783	0.124125938791867
30	10	0.121468260152389	0.121391679429369
30	10	0.125191956247995	0.125243697130174
30	10	0.122734272836057	0.128454253634096
40	10	0.117311567741774	0.128003984953616
40	10	0.124620266794103	0.134309498951893
40	10	0.125714225052356	0.12612598859231
40	10	0.12391399613256	0.127069071460649
40	10	0.122975299499122	0.128984491061617
40	10	0.11862518167642	0.124437053325799
