n_it	n_sub	mse_1	mse_2
10	20	0.0348090657630584	0.0414786211759888
10	20	0.035596960850204	0.0409656834117956
10	20	0.0391455837623476	0.0367375908890822
10	20	0.0381414643753061	0.0402236212330665
10	20	0.0394796372666783	0.0371417190039879
10	20	0.0340850003005033	0.0408648344010658
20	20	0.0302380674227011	0.0308922128116355
20	20	0.0314446472461573	0.0314075176789362
20	20	0.0335984648679593	0.0352640584055568
20	20	0.0319454350970984	0.0337351427664949
20	20	0.0321728559760778	0.0332121631254305
20	20	0.0305970535298319	0.0295733950149538
30	20	0.0303144132221464	0.0278476219756589
30	20	0.0275144582009117	0.0292046093432713
30	20	0.0298502115448258	0.0302739756002644
30	20	0.0277624195880032	0.0292637462115493
30	20	0.0295776641414951	0.0300774298528232
30	20	0.0284011088031089	0.0286687813725289
40	20	0.0270698742865605	0.0290554253093577
40	20	0.0266066350332137	0.0282643771237217
40	20	0.0257922607521996	0.028541502902288
40	20	0.0260369590750064	0.0283858695933574
40	20	0.0287394474609156	0.028500309157099
40	20	0.0266297858203605	0.0264296819736118
