n_it	n_sub	mse_1	mse_2
10	25	0.0880605525631006	0.0921951982279941
10	25	0.0904884613530226	0.0902245181320908
10	25	0.0818498562515541	0.0919381051407336
10	25	0.078564735655837	0.0904327570674999
10	25	0.0887057503392114	0.0891414104091238
10	25	0.0844006042509872	0.0871549741346482
20	25	0.0867681543735486	0.0877302359150307
20	25	0.0835382600523915	0.0884598078028013
20	25	0.0872436822820866	0.0925770802891883
20	25	0.0903889524419215	0.0874120633768335
20	25	0.0842857531146355	0.0913169361546484
20	25	0.086913916780772	0.0875792775919519
30	25	0.0850205339542703	0.0899235050144867
30	25	0.084744838539176	0.0902422853419763
30	25	0.0847736801960073	0.0888304544354143
30	25	0.0848612585159177	0.0888383142384285
30	25	0.0909088365149273	0.0899098787432506
30	25	0.0888886594848598	0.0912099298288463
40	25	0.0861767927492307	0.0900132479074339
40	25	0.0885984625790259	0.0905386307565696
40	25	0.0870031532575256	0.0877235035944562
40	25	0.0902995682216488	0.0902615887225892
40	25	0.0896270905627294	0.0895798620293661
40	25	0.0892934601370164	0.0870772838976864
100	25	0.0872257045855063	0.0897941924046185






