n_it	n_sub	mse_1	mse_2
10	20	0.0785522768617892	0.089071503399704
10	20	0.0808411574797745	0.0879813555353759
10	20	0.080648476078175	0.0850638163485634
10	20	0.0799052858390635	0.0840104689624168
10	20	0.0848186968748747	0.0867438923413927
10	20	0.0831375044134916	0.0893636747362587
20	20	0.0809867401075278	0.0863463492879328
20	20	0.081778355196923	0.0865622280608495
20	20	0.0871244014644552	0.0852803550647367
20	20	0.0821276304280383	0.0862778375541168
20	20	0.0795696635032945	0.0841314375425251
20	20	0.0807817989354339	0.0834376466293439
30	20	0.0856484843822605	0.0852707514130663
30	20	0.0822522916355489	0.0859857871915774
30	20	0.084075704848397	0.0857176245837711
30	20	0.0844862989442153	0.0860226328098712
30	20	0.0880655583520795	0.0863076147917714
30	20	0.0836818873294067	0.0837799150321134
40	20	0.0816814544814973	0.0873365408746068
40	20	0.0824278135937496	0.0860849229635133
40	20	0.0810644020425029	0.0880836507851374
40	20	0.0829198708879042	0.0844341025878248
40	20	0.0849111449197385	0.0867675065303716
40	20	0.0836099587357772	0.0839235334958674
