n_it	n_sub	mse_1	mse_2
10	30	0.0752060418206548	0.0830964592202439
10	30	0.0718082413399524	0.0687797153378298
10	30	0.0713127693124674	0.0736431520997524
10	30	0.0711860600191235	0.076480942493369
10	30	0.0669325069441622	0.0752964095996626
10	30	0.0739889744142874	0.0835571879133707
20	30	0.0661154901182151	0.0723887240561406
20	30	0.0678405176869081	0.0680262996308243
20	30	0.0668835137726551	0.0679907082796366
20	30	0.0712495911629947	0.0659120742527213
20	30	0.0651975785582048	0.0710100374198975
20	30	0.065495591524455	0.0664115949713896
30	30	0.0641800894828009	0.0691463934695991
30	30	0.0698362589472322	0.0683995897814723
30	30	0.066156959052964	0.0688257889543594
30	30	0.0675115245477789	0.0675787976065509
30	30	0.0672516883347185	0.068091617247299
30	30	0.0664636159290689	0.0664904041798227
40	30	0.062824243909966	0.0643966735986256
40	30	0.0660417446636456	0.068161010893955
40	30	0.0603598659946021	0.0657862586729315
40	30	0.0653109202212031	0.0649404796434743
40	30	0.066011024962536	0.065994569106268
40	30	0.0647253802081399	0.0684242128355499
