n_it	n_sub	mse_1	mse_2
10	10	0.0385359296609086	0.0424635336644566
10	10	0.038922244636956	0.0343344977913274
10	10	0.0362877136508224	0.0481164511617209
10	10	0.0396317068955735	0.045155195971624
10	10	0.0407728246038028	0.0458646552165889
10	10	0.0309138133443746	0.0408525967026865
20	10	0.0283882365355218	0.0280637680124969
20	10	0.0251249147007037	0.0264011158159452
20	10	0.0281106377627067	0.0229798410053822
20	10	0.0305153112293055	0.0271197144277408
20	10	0.0284888979970815	0.02728459706256
20	10	0.0292094152985543	0.0265868105876649
30	10	0.0248756321414856	0.0199692083908474
30	10	0.0227776965539929	0.0255238490113147
30	10	0.0211602345491336	0.0236307121535579
30	10	0.0197297946805014	0.0225862864782613
30	10	0.0235846160910899	0.0225510554942393
30	10	0.0215103985389098	0.0249234696838239
40	10	0.0178780715524715	0.0233786379914189
40	10	0.0213249735635516	0.0247900155186517
40	10	0.0195189907160887	0.0188540589516564
40	10	0.0214276630866304	0.0200114147719777
40	10	0.0193143921855338	0.0192067112073718
40	10	0.0189544811952842	0.0197361482477
